"name","area","WDPAid","patchRichness","nPatches","stddev_WC","mean_WC","analysis_scale","shortName","fullName","country","latitude","longitude","Notes","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.bodymass","CWM.Vertebrate","CWM.Invertebrate","CWM.Fish","CWM.Seed","CWM.Fruit","CWM.Root","CWM.Woody","CWM.Herbaceous","CWM.Nectar","CWM.aquatic","CWM.terrestrial","CWM.fossorial","CWM.arboreal","nLocomotor","nTrophic"
"Hwange",14743.7167848176,1991,4,19,0.052562423142205,0.524286764646937,20000,"Hwange","Hwange National Park","Zimbabwe",-19.2038771,26.6081653,"",58,58,1.15274459251802e-06,0.245927495326894,0.895161132182274,0.657142745001671,0.162725060548212,0.0289473463641043,175346.31875,2.8,2.87272727272727,3.90909090909091,3.87272727272727,3.27272727272727,3.70909090909091,3.12727272727273,3.16363636363636,4,0,1,0,0,5,17
"Mana Pools",2129.50669873554,2531,3,6,0.0465704463300033,0.562853842082186,20000,"Mana Pools NP","Mana Pools National Park","Zimbabwe",-15.98,29.44,"",55,55,4.47616037360426e-06,0.245927495326894,0.917530112270582,0.669389106811047,0.164037047650702,0.0299632226421063,93987.2421363636,2.79245283018868,2.84905660377358,3.92452830188679,3.81132075471698,3.24528301886792,3.83018867924528,3.20754716981132,3.13207547169811,3.94339622641509,0,1,0,0,5,17
"Yangudi Rassa",3058.41446256855,2276,3,6,0.0156979541104236,0.0410666685433587,20000,"Yangudi-Rasa NP","Yangudi-Rasa National Park","Ethiopia",10.534,40.879,"",34,34,5.93964772102857e-08,0.245927495326894,0.914950989833668,0.624727562642294,0.157651497219226,0.0277199312404014,104906.455882353,2.73529411764706,2.94117647058824,3.82352941176471,3.91176470588235,3.14705882352941,3.88235294117647,2.93939393939394,3.27272727272727,4,0,1,0,0,4,13
"Awash",584.482024471931,652,1,1,0.00487527251243591,0.293579875003724,20000,"Awash NP","Awash National Park","Ethiopia",9.2,40.2,"there is another option, Awash west which looks bigger",43,43,1.78989856414509e-06,0.245927495326894,0.869962316978784,0.630473060023619,0.164558989771978,0.030420424188892,81368.5923255814,2.67441860465116,2.93023255813953,3.86046511627907,3.86046511627907,3.16279069767442,3.83720930232558,3.18604651162791,3.23255813953488,4,0,1,0,0,5,13
"Abijatta-Shalla",922.100602172625,2279,3,3,0.0639644116163254,0.327016479712377,20000,"Abijatta-Shalla Lake","Abijatta-Shalla Lakes National Park","Ethiopia",7.3,38.3,"",32,32,1.64761575256058e-06,0.245927495326894,0.917804776260901,0.64955829932375,0.172213058083742,0.032996291065896,25632.2834375,2.46875,2.65625,3.6875,3.90625,3.03125,3.9375,3.25,3.3125,4,0,1,0,0,5,14
"Omo",3902.86787001389,2280,3,8,0.116111992922459,0.510943690609932,20000,"Omo","Omo National Park","Ethiopia",5.8310333,35.8279959,"",48,48,1.42745381530143e-05,0.245927495326894,0.893929940567295,0.630748005446367,0.166366748974699,0.0316297819418662,201206.112708333,2.64444444444444,3.02222222222222,3.86666666666667,3.88888888888889,3.02222222222222,3.73333333333333,3.08888888888889,3.17777777777778,4,0,1,0,0,5,15
"Bale Mountains",2317.63386843873,2281,3,5,0.122790997600066,0.738463108510663,20000,"Bale Mountains NP","Bale Mountains National Park ","Ethiopia",6.4,39.4,"",31,31,6.40978453018084e-07,0.245927495326894,0.91909082145255,0.636490741437062,0.166435191357711,0.0325194408976995,37795.4574193548,2.54838709677419,3.06451612903226,3.80645161290323,3.80645161290323,3.06451612903226,3.74193548387097,3.2258064516129,3.29032258064516,4,0,1,0,0,5,12
"Mago",1875.24152956627,2277,2,4,0.0705038892114186,0.535329574316464,20000,"Mago NP","Mago National Park","Ethiopia",5.4,36.1,"",50,50,3.97106650453068e-06,0.245927495326894,0.900771270697846,0.635224251831088,0.165996576009559,0.0314576609257253,202786.8116,2.82978723404255,3.19148936170213,3.87234042553191,3.82978723404255,3,3.74468085106383,3,3.08510638297872,4,0,1,0,0,5,15
"Manovo-Gounda-Saint Floris",19049.5000859545,2256,4,26,0.111599907741189,0.48160892212281,20000,"MonovoGoundaStFloris","Manovo-Gounda-Saint Floris National Park","Central African Republic",8.89,21.43,"",61,61,0.000148056753069856,0.245927495326894,0.917043783684344,0.657001004633734,0.178651579320604,0.0355052819035955,174388.293565574,2.75,3,3.83333333333333,3.75,2.85,3.76666666666667,3.18333333333333,2.96666666666667,4,0,1,0,0,5,16
"Manda",954.945881364573,642,1,3,0.00339192410612918,0.404025335027874,20000,"Manda NP","Manda National Park","Chad",9.32,19.97,"",48,48,1.2179546997917e-05,0.245927495326894,0.929250004728366,0.642922158290201,0.167554410265854,0.0313390398759118,62998.4116145833,2.5531914893617,2.91489361702128,3.78723404255319,3.80851063829787,2.91489361702128,3.82978723404255,3.34042553191489,3.04255319148936,4,0,1,0,0,5,15
"Zakouma",3054.91065652485,641,3,7,0.0171789236098172,0.3475097214366,20000,"Zakouma NP","Zakouma National Park","Chad",10.85,19.7,"",40,40,4.80005202771697e-08,0.245927495326894,0.915773594572148,0.680049078810432,0.172835800469827,0.0340262181209006,200746.2489375,2.82051282051282,3.07692307692308,3.74358974358974,3.76923076923077,3.12820512820513,3.79487179487179,3.12820512820513,3,4,0,1,0,0,4,15
"Garamba",4970.560966862,1083,3,11,0.0805916636665598,0.527960632356302,20000,"Garamba","Garamba Region","Congo, Democratic Republic of",3.8,29.5,"two options, 4327 or 1083 (going with 1083)",36,36,5.08881520219998e-06,0.245927495326894,0.970655368232547,0.644273233352637,0.183005896656359,0.0378273765580677,296205.769444444,3,3.17142857142857,3.77142857142857,3.62857142857143,3.05714285714286,3.74285714285714,3.34285714285714,2.8,4,0,1,0,0,5,14
"Singou",1935.66660503885,3229,2,5,0.0124297932348613,0.207110692921241,20000,"Singou ","Singou Total Faunal Reserve","Burkina Faso",11.64,0.98,"",38,38,3.92057823221942e-07,0.245927495326894,0.896153816583238,0.655664406022963,0.157679333004563,0.028836237710967,84287.7384210526,2.62162162162162,3.08108108108108,3.89189189189189,3.75675675675676,3.40540540540541,3.94594594594595,3.40540540540541,2.81081081081081,4,0,1,0,0,4,13
"Arly",842.751300188101,4488,1,2,0.0257925243931811,0.219975561132358,20000,"Arly","Arly Total Faunal Reserve","Burkina Faso",11.56,1.44,"",43,43,2.06514664272065e-06,0.245927495326894,0.915822997758426,0.660922516288492,0.168709813892749,0.0327256826540069,140834.653895349,2.5952380952381,2.97619047619048,3.83333333333333,3.78571428571429,3.11904761904762,3.80952380952381,3.26190476190476,2.92857142857143,4,0,1,0,0,4,15
"Madjoari",295.085396310225,9265,1,1,0,0.215851796590365,20000,"Madjoari","Madjoari (Total Faunal) Reserve","Burkina Faso",11.37,1.27,"",43,43,2.06514664272065e-06,0.245927495326894,0.915822997758426,0.660922516288492,0.168709813892749,0.0327256826540069,140834.653895349,2.5952380952381,2.97619047619048,3.83333333333333,3.78571428571429,3.11904761904762,3.80952380952381,3.26190476190476,2.92857142857143,4,0,1,0,0,4,15
"Siniaka-Minia",4324.81636920566,5165,2,8,0.0181753595428543,0.382866777389882,20000,"Siniaka-Minia FR","Siniaka-Minia Faunal Reserve","Chad",10.42,18.2,"",38,38,1.71656836624642e-07,0.245927495326894,0.904669949634368,0.668038331559357,0.16478506408797,0.0305019106303976,143623.49625,2.56756756756757,2.94594594594595,3.83783783783784,3.83783783783784,3.10810810810811,3.78378378378378,3.2972972972973,2.97297297297297,4,0,1,0,0,3,14
"Ouadi-Rimé-Ouadi Achim",83325.069787164,1250,2,20,0.0108428280674779,0.0222798217138871,20000,"Ouadi Achim","Ouadi Achim Faunal Reserve","Chad",15.77,19,"",26,26,1.0037883534343e-07,0.245927495326894,0.916905206233937,0.687308817238612,0.141551385960161,0.0243024559110976,25014.0172115385,2.36,2.8,3.88,3.76,3.32,3.88,3.54166666666667,3.41666666666667,4,0,1,0,0,3,12
"Zemongo",13733.4708663777,2259,4,17,0.0692306320152467,0.625613307053379,20000,"Zemongo","Zemongo Faunal Reserve","Central African Republic",6.59,25.25,"",64,64,0.000191287578342871,0.245927495326894,0.883121500785573,0.653172816881294,0.183459189995641,0.0373590215223972,70470.8078515625,2.66129032258065,2.93548387096774,3.79032258064516,3.7741935483871,2.7258064516129,3.7258064516129,3.29032258064516,3.2258064516129,4,0,1,0,0,5,16
"Budongo",821.541205277058,34804,2,3,0,0.756727366791773,20000,"Budongo","Budongo","Uganda",1.75,31.43,"",42,42,0.000111796242675154,0.245927495326894,0.906152427577023,0.652458728345845,0.203440723603659,0.0459947571764078,167013.309714286,2.64102564102564,2.84615384615385,3.74358974358974,3.74358974358974,2.38461538461538,3.71794871794872,3.15384615384615,3.23076923076923,4,0,1,0,0,5,16
"Budongo",821.541205277058,34804,2,3,0,0.756727366791773,20000,"Budongo Forest","Budongo Forest","Uganda",1.73,31.55,"",13,13,1.36466586965848e-08,0.245927495326894,0.996668055761086,0.655821631229478,0.187553089456966,0.037963535555358,491799.732307692,2.92307692307692,3.53846153846154,4,4,2.15384615384615,3.53846153846154,2.84615384615385,2.84615384615385,4,0,1,0,0,4,10
"Arabuko Sokoke",370.010104295181,7422,1,1,0,0.740302459297017,20000,"Arabuko-Sokoke","Arabuko-Sokoke Forest","Kenya",-3.33,39.86,"",17,17,7.43194352158581e-07,0.245927495326894,0.968089568088422,0.620298459747742,0.190382364021147,0.0392765453240238,341661.901764706,2.64705882352941,3,4,3.76470588235294,2.58823529411765,3.64705882352941,2.47058823529412,3.11764705882353,3.82352941176471,0,1,0,0,4,10
"Mount Elgon",607.569354283619,7660,1,2,0.00468584895133972,0.726301599904974,20000,"Mt Elgon NP","Mount Elgon National Park","Kenya",1.13,34.7,"",23,23,6.23211371417148e-06,0.245927495326894,0.952468661430275,0.624912240192401,0.194860474564542,0.0397087512964532,259129.662608696,2.91304347826087,3.08695652173913,4,3.91304347826087,2.34782608695652,3.43478260869565,2.82608695652174,3.21739130434783,3.8695652173913,0,1,0,0,3,11
"Kakamega",180.976326687368,33450,1,1,NA,0.771302854192668,20000,"Kakamega","Kakamega","Kenya",0.33,34.87,"two options, 33450 or 7420 (going with 33450 because bigger)",43,43,5.63071005432237e-05,0.245927495326894,0.90081756095004,0.652766053706617,0.198640677789227,0.0427723521009582,151399.132744186,2.71428571428571,2.95238095238095,3.83333333333333,3.73809523809524,2.38095238095238,3.69047619047619,3.07142857142857,3.14285714285714,4,0,1,0,0,5,15
"Partial Reserve Buffalo",333.318022205527,4494,1,1,0,0.50383301739279,20000,"Bufalo PR","Bufalo Partial Reserve","Uganda",-12.78,13.81,"",42,42,1.42534625966611e-06,0.245927495326894,0.90489139031215,0.66194617007822,0.162476000559808,0.0303045232196836,50252.3389880952,2.53658536585366,2.82926829268293,3.82926829268293,3.82926829268293,3.14634146341463,3.73170731707317,3.14634146341463,3.4390243902439,4,0,1,0,0,5,16
"Ngotto",801.028951910029,28745,1,2,0.0193691849708557,0.81216845115808,20000,"Ngotto Forest","Ngotto Forest","Central African Republic",3.96,17.01,"",58,58,0.000151680458297395,0.245927495326894,0.822183740594819,0.669741532807678,0.199805518400975,0.0428611556191938,62447.1928017241,2.80357142857143,2.85714285714286,3.83928571428571,3.64285714285714,2.42857142857143,3.76785714285714,3.21428571428571,3.14285714285714,4,0,1,0,0,5,15
"Massif du Ziama",918.655546737231,29066,1,3,0,0.793751153542317,20000,"Massif du Ziama","Massif du Ziama Nature Reserve","Guinea",8.3,-9.36,"",48,48,6.74364646646571e-05,0.245927495326894,0.834740093845451,0.647798057272264,0.195144938824852,0.0408959553214824,23911.531875,2.6304347826087,2.71739130434783,3.84782608695652,3.65217391304348,2.28260869565217,3.69565217391304,3.21739130434783,3.5,4,0,1,0,0,5,11
"Bahr Salamat",21293.2320330112,5164,4,28,0.0337465984524571,0.369106820695123,20000,"Bahr Salamat","Bahr Salamat Faunal Reserve","Chad",10.59,19.42,"",46,46,1.58250756816341e-06,0.245927495326894,0.921388742696428,0.668294236714074,0.163850857496105,0.0307055699051734,74725.7745108696,2.66666666666667,3,3.77777777777778,3.8,3.13333333333333,3.88888888888889,3.31111111111111,3.06666666666667,4,0,1,0,0,5,15
"Abou Telfane",1086.90997171352,9034,2,2,0.0324195197933186,0.346368853894177,20000,"Abou Telfance","Abou Telfance Faunal Reserve","Chad",12.1,18.88,"",32,32,2.10986619449632e-08,0.245927495326894,0.893943502918942,0.669264768355139,0.161967878731606,0.0289159493203437,76900.494296875,2.64516129032258,3.03225806451613,3.80645161290323,3.80645161290323,3.19354838709677,3.83870967741935,3.25806451612903,3.06451612903226,4,0,1,0,0,3,14
"Kourtiagou",438.007831799519,3226,1,1,0,0.236078419368645,20000,"Kourtiagou","Kourtiagou Partial Forest Reserve","Burkina Faso",11.55,1.95,"",43,43,2.06514664272065e-06,0.245927495326894,0.915822997758426,0.660922516288492,0.168709813892749,0.0327256826540069,140834.653895349,2.5952380952381,2.97619047619048,3.83333333333333,3.78571428571429,3.11904761904762,3.80952380952381,3.26190476190476,2.92857142857143,4,0,1,0,0,4,15
"Pama",2340.91524855995,3228,2,5,0.0221834184443713,0.226358942396589,20000,"Pama","Pama Partilal Faunal Reserve","Burkina Faso",11.4,0.82,"",42,42,2.04559692410037e-06,0.245927495326894,0.913837779995687,0.656007240805123,0.166935199735509,0.0315249087208471,89182.3951785714,2.63414634146341,2.95121951219512,3.82926829268293,3.78048780487805,3.17073170731707,3.8780487804878,3.31707317073171,2.90243902439024,4,0,1,0,0,4,15
"Sahel",18220.047721804,3225,3,13,0.00588963467557049,0.0126524882875079,20000,"Sahel ","Sahel Partial Faunal Reserve","Burkina Faso",14.54,-0.64,"",27,27,9.07361081150716e-08,0.245927495326894,0.920088462046415,0.675871724696034,0.159222197668207,0.0302351031621167,18884.5721296296,2.48148148148148,2.88888888888889,3.77777777777778,3.77777777777778,2.96296296296296,3.81481481481481,3.34615384615385,3.42307692307692,4,0,1,0,0,4,10
"Integral Nature Reserve and the Luando",8771.82686895232,3066,4,13,0.0594526678521853,0.627587244542903,20000,"Luando","Luando National Park","Angola",-10.5982486,17.0067031,"double check this one",56,56,5.92907254236011e-05,0.245927495326894,0.897725577235075,0.645495555804424,0.173519752285012,0.0350930345168584,129228.428883929,2.56603773584906,2.84905660377358,3.81132075471698,3.79245283018868,3.09433962264151,3.75471698113208,3.30188679245283,3.20754716981132,4,0,1,0,0,5,16
"Salonga",33517.3375087849,478292,1,10,0.00881417745292574,0.863741456848001,20000,"Salonga NP","Salonga National Park","Congo, Democratic Republic of",-2.36,20.97,"two options, 10906 or 478292",49,49,0.000134385244555987,0.245927495326894,0.831674595846161,0.670012363175933,0.199703923585164,0.0433984987634245,113212.701496599,2.59574468085106,2.68085106382979,3.80851063829787,3.51063829787234,2.21276595744681,3.72340425531915,3.29787234042553,3.53191489361702,4,0,1,0,0,5,12
"Benoué",1672.71905691748,3011,2,4,0.0687385901912581,0.426956033602672,20000,"Benoue NP","Benoue National Park","Cameroon",8.36,13.82,"",49,49,2.05052296605949e-05,0.245927495326894,0.930723771493346,0.63747510061848,0.172210757359064,0.033518968959245,158016.020459184,2.59574468085106,2.95744680851064,3.78723404255319,3.80851063829787,2.95744680851064,3.76595744680851,3.27659574468085,3.1063829787234,4,0,1,0,0,5,15
"Tassili N'Ajjer",99109.4396900303,20389,1,25,NA,NA,20000,"Tassili N'Ajjer NP","Tassili N'Ajjer National Park","Algeria",24.64,9.7,"two options, 4999 or 20389 ",17,17,2.38088358760195e-08,0.245927495326894,0.933476600172277,0.654501554615384,0.120685904766962,0.0185434055370727,26991.0823529412,2.29411764705882,3.17647058823529,3.82352941176471,4,3.52941176470588,4,3.26666666666667,3.06666666666667,4,0,1,0,0,2,8
"Okavango Delta",20505.4728414007,555577555,3,28,0.0497347676926957,0.467241357524459,20000,"Okavango","Okavango Delta","Botswana",-19.5,22.7,"",63,63,2.26948723728635e-07,0.245927495326894,0.871599052089652,0.673754903998268,0.172228604033836,0.0330205094111817,208511.576984127,2.63934426229508,2.81967213114754,3.85245901639344,3.73770491803279,3.13114754098361,3.68852459016393,3.40983606557377,3.11475409836066,4,0,1,0,0,4,16
"Garamba National Park",5150.94940610021,4327,3,11,0.0793665631486315,0.527653908352514,20000,"Garamba NP","Garamba National Park","Congo, Democratic Republic of",4.19,29.48,"",68,68,0.000219740514617671,0.245927495326894,0.919348727836837,0.673102254716804,0.1882079934021,0.0395920215594961,157409.464742647,2.90909090909091,2.92424242424242,3.8030303030303,3.68181818181818,2.75757575757576,3.71212121212121,3.18181818181818,3.18181818181818,4,0,1,0,0,5,17
"Parc National du Diawling",662.128743508618,95349,1,1,NA,NA,20000,"Diawling NP","Diawling National Park","Mauritania",16.31,-16.4,"",25,25,2.41963386552329e-07,0.245927495326894,0.956758005763335,0.686394996978967,0.160828966055412,0.0306553468706638,14879.0739,2.36,2.44,3.96,3.76,3.04,3.8,3.44,3.4,4,0,1,0,0,4,11
"Lake Chilwa",2117.04199244709,145538,3,4,0.12707464981065,0.415249562108233,20000,"Lake Chilwa Wetlands","Lake Chilwa Wetlands","Malawi",-15.16,35.41,"",54,54,2.10197120564118e-05,0.245927495326894,0.920679400881508,0.659342923573974,0.170018648065695,0.0333168543420693,86406.5258796296,2.55769230769231,2.73076923076923,3.86538461538462,3.80769230769231,3.01923076923077,3.82692307692308,3.23076923076923,3.34615384615385,3.94230769230769,0,1,0,0,5,17
"Lake Chad Wetlands in Nigeria",6060.60999248206,903113,2,12,0.106370079567075,0.372980012133212,20000,"Lake Chad","Lake Chad Game Reserve","Nigeria",13,13.5,"",29,29,1.74977250962534e-07,0.245927495326894,0.926133256816928,0.675286094616054,0.179650378914496,0.0397278154216216,209400.203103448,2.3448275862069,2.93103448275862,3.86206896551724,3.58620689655172,3.06896551724138,3.79310344827586,3.32142857142857,3.03571428571429,4,0,1,0,0,4,11
"Lac Fitri",2034.1211834414,30017,2,5,0.0643489181903435,0.245934146904204,20000,"Lac Fitri","Lac Fitri (Wetlands of International Importance)","Morocco",12.79,17.44,"",25,25,1.74307404936647e-08,0.245927495326894,0.862760996787827,0.720635592328263,0.162326451811182,0.0318181762568628,179817.9235,2.5,3.125,3.875,3.75,3.16666666666667,3.75,3.41666666666667,3.125,4,0,1,0,0,3,10
"Bangweulu Swamps",3198.2880669166,68323,2,5,0.0539153640988836,0.501506769193374,20000,"Bangweulu Swamps","Bangweulu Swamps","Zambia",-11.53,30.72,"",57,57,1.8822656213253e-05,0.245927495326894,0.911193725606544,0.654174518835868,0.173510400477169,0.0336799769907908,91118.7529385965,2.75925925925926,2.94444444444444,3.81481481481481,3.7962962962963,3.14814814814815,3.77777777777778,3.2037037037037,3.03703703703704,4,0,1,0,0,5,17
"Lake Qarun Protected Area",1341.17197030357,555547984,1,2,NA,NA,20000,"Qarun Lake NR","Qarun Lake National Reserve","Egypt",29.56,30.61,"",14,14,5.50466375203361e-09,0.245927495326894,0.943606788229136,0.693619000058025,0.126883879109449,0.019944732602147,10028.0107142857,2.42857142857143,3.07142857142857,3.78571428571429,4,3.21428571428571,3.78571428571429,3.58333333333333,3.33333333333333,4,0,1,0,0,2,9
"Conkouati-Douli",5156.98331439062,313401,3,8,0.05694095957648,0.631323861954904,20000,"Conkouati-Douli NP","Conkouati-Douli National Park","Congo, Democratic Republic of",-3.9,11.45,"",48,48,3.91460833263463e-05,0.245927495326894,0.882168556330913,0.652767335556656,0.196139994853753,0.0421045507385384,114056.174270833,2.60869565217391,2.89130434782609,3.8695652173913,3.60869565217391,2.30434782608696,3.69565217391304,3.17391304347826,3.21739130434783,4,0,1,0,0,5,14
"Nouabalé-Ndoki",4106.79884281496,72332,1,3,0.0230724206393105,0.858029975282968,20000,"Nouabale-Ndoki NP","Nouabale-Ndoki National Park","Congo, Democratic Republic of",2.52,16.6,"",47,47,0.000107434619294497,0.245927495326894,0.823150302618672,0.673029674609794,0.201479820964056,0.0443657099351982,118462.375,2.77777777777778,2.91111111111111,3.86666666666667,3.62222222222222,2.06666666666667,3.64444444444444,3.26666666666667,3.31111111111111,4,0,1,0,0,5,14
"Lac Télé",4531.46661230057,313494,2,5,0.0377077089122472,0.797853873125438,20000,"Lac Tele","Lac Tele Community Reserve","Congo, Democratic Republic of",1.1,17.26,"",47,47,8.71040561897074e-05,0.245927495326894,0.801614380825361,0.673932978747112,0.199831883805574,0.0439323637571714,118510.040106383,2.77777777777778,2.91111111111111,3.86666666666667,3.62222222222222,2.06666666666667,3.64444444444444,3.26666666666667,3.37777777777778,4,0,1,0,0,5,13
"Odzala Kokoua",13664.5723078619,643,1,8,0.0380533051590866,0.838764412640107,20000,"Odzala-Koukoua NP","Odzala-Koukoua National Park","Congo, Democratic Republic of",0.89,14.88,"",51,51,6.99337872287328e-05,0.245927495326894,0.849130496125126,0.666003418472839,0.201892172378751,0.0444361234491943,113707.396078431,2.75510204081633,2.91836734693878,3.85714285714286,3.57142857142857,2.14285714285714,3.6530612244898,3.14285714285714,3.38775510204082,4,0,1,0,0,5,13
"Amboseli",389.139721275527,758,1,2,0.0181652009487152,0.231238285303116,20000,"Amboseli","Amboseli National Park","Kenya",-2.6,37.5,"",47,47,1.00394556071967e-07,0.245927495326894,0.90641796799528,0.650618088619726,0.163241620442052,0.0295175668475603,225121.709787234,2.77777777777778,3.08888888888889,3.86666666666667,3.91111111111111,3.13333333333333,3.75555555555556,3.11111111111111,3.08888888888889,4,0,1,0,0,4,15
"Aberdare",774.677166530184,756,1,1,0.0475521845397099,0.724930985784922,20000,"Aberdare","Aberdare National Park","Kenya",-0.38,36.7,"",44,44,6.42119536423801e-05,0.245927495326894,0.956989934898807,0.655083137053286,0.18414897007114,0.0377874402522848,166664.496590909,2.7906976744186,2.88372093023256,3.81395348837209,3.90697674418605,2.7906976744186,3.65116279069767,3,3.25581395348837,3.93023255813953,0,1,0,0,5,15
"Meru",878.845191725783,755,2,2,0.128415766424519,0.539608719805591,20000,"Meru NP","Meru National Park","Kenya",0.08,38.33,"",59,59,2.76345132186765e-05,0.245927495326894,0.933543877808769,0.643172326113645,0.176385318233371,0.035282772658337,219452.660508475,2.85964912280702,3.05263157894737,3.91228070175439,3.80701754385965,3.01754385964912,3.70175438596491,3.01754385964912,3.17543859649123,3.94736842105263,0,1,0,0,5,16
"Tsavo East",20550.1465539525,-999999,3,17,0.0940267454852429,0.353676943989225,20000,"Tsavo","Tsavo ","Kenya",-3.03,38.33,"Combined polygons for west and east and used a fake number ",66,66,3.18966594479138e-05,0.245927495326894,0.928054180220501,0.646606910479156,0.17659008746356,0.0349373906296163,165743.021212121,2.68253968253968,2.88888888888889,3.87301587301587,3.77777777777778,2.98412698412698,3.73015873015873,3.12698412698413,3.22222222222222,3.95238095238095,0,1,0,0,5,16
"Masai Mara",1524.66034636007,1297,2,4,0.0089416336421992,0.607281701604443,20000,"Masai","Masai Mara","Kenya",-1.49,35.14,"",70,70,0.000113822218730434,0.245927495326894,0.906903116374386,0.654431525011615,0.179540770576723,0.0360713066474765,159499.192571429,2.82089552238806,3.02985074626866,3.85074626865672,3.77611940298508,2.76119402985075,3.71641791044776,3.13432835820896,3.04477611940298,3.95522388059702,0,1,0,0,5,17
"Samburu",159.792170775512,2298,1,1,NA,0.240580155866817,20000,"Samburu NR","Samburu Nature Reserve","Kenya",0.57,37.57,"",17,17,2.10925009599768e-10,0.245927495326894,0.981218774751456,0.608191256391372,0.128036443416402,0.0219541486872342,617905.911176471,3.41176470588235,3.94117647058824,4,3.82352941176471,3.35294117647059,3.70588235294118,2.29411764705882,2.41176470588235,4,0,1,0,0,3,10
"Arawale",630.021467140626,2423,1,2,0.0115289986133575,0.442870520679234,20000,"Arawale","Arawale National Reserve","Kenya",-1.43,40.15,"",25,25,3.75092806930992e-09,0.245927495326894,0.94553780809637,0.595623544128132,0.132459577098703,0.0186273020844901,347472.9204,2.80952380952381,3.66666666666667,4,3.85714285714286,3.38095238095238,3.66666666666667,2.42857142857143,3.28571428571429,4,0,1,0,0,3,11
"Tongwe",13.6366076064377,350014,1,1,NA,0.639481246471405,20000,"Tongwe","Tongwe National Park","Tanzania",-5.3,38.73,"",36,36,4.33530036960457e-07,0.245927495326894,0.922666096469449,0.623499407400097,0.168619477514023,0.0323196637587298,239236.162777778,3,3.41176470588235,4,3.79411764705882,2.79411764705882,3.52941176470588,3.11764705882353,2.79411764705882,4,0,1,0,0,5,17
"Golden Gate Highlands National Park",348.488446395834,879,1,1,NA,0.395069529104421,20000,"Golden Gate NP","Golden Gate National Park","South Africa",-28.3,28.4,"Highlands",32,32,3.25267999880806e-07,0.245927495326894,0.881681407689641,0.674608782747858,0.160374903382252,0.0280261528046264,68448.1834375,3.06666666666667,2.96666666666667,3.86666666666667,3.76666666666667,3.43333333333333,3.8,3.26666666666667,2.66666666666667,4,0,1,0,0,4,12
"Kruger National Park",19214.9813074498,873,4,21,0.062829355282912,0.407952171011412,20000,"Kruger","Kruger National Park","South Africa",-23.8214244,31.4456179,"",71,71,4.94323652190234e-05,0.245927495326894,0.91428719694037,0.646762289538197,0.172359205243778,0.0332294231838455,191908.213239437,2.85074626865672,2.97014925373134,3.85074626865672,3.83582089552239,3.14925373134328,3.77611940298507,3.11940298507463,3,3.95522388059701,0,1,0,0,5,18
"Cliff of Bandiagara (Land of the Dogons)",3326.69271689958,20171,2,7,0.0215514900208013,0.0562489466744222,20000,"Cliffs of Bandiagara","Cliffs of Bandiagara","Mali",14.41,-3.4,"",28,28,5.49353178114769e-08,0.245927495326894,0.923294032789198,0.716805929782748,0.166445429319256,0.0329372362142317,28982.6838392857,2.46428571428571,2.64285714285714,3.85714285714286,3.78571428571429,3.03571428571429,3.82142857142857,3.42857142857143,3.25,4,0,1,0,0,4,12
"Tsoulou",289.474206831833,2270,1,1,0,0.463307043360598,20000,"Tsoulou","Tsoulou Faunal Reserve","Congo, Democratic Republic of",-3.62,12.46,"",41,41,2.42260728599492e-05,0.245927495326894,0.948752660175737,0.654190232524172,0.190809253266998,0.0403879975464448,36924.3431707317,2.58974358974359,2.64102564102564,3.82051282051282,3.64102564102564,2.46153846153846,3.71794871794872,3.48717948717949,3.53846153846154,4,0,1,0,0,5,14
"Mont Fouari",288.812468764174,555571319,1,1,NA,0.54931141539691,20000,"Mt Fouari FR","Mount Fouari Faunal Reserve","Congo, Democratic Republic of",-2.78,11.67,"",42,42,3.66326733400508e-05,0.245927495326894,0.938626847974812,0.641064010317007,0.198941669997693,0.042915872846337,72912.5955952381,2.6,2.825,3.85,3.65,2.35,3.725,3.35,3.25,4,0,1,0,0,5,13
"Kizigo G.R. (C)",5093.23244586632,7883,2,6,0.0238503833767943,0.397119694500247,20000,"Kizigo GR","Kizigo Game Reserve","Tanzania",-6.37,34.28,"",67,67,6.17010210704264e-06,0.245927495326894,0.910525343521362,0.662965008890895,0.163419939208774,0.0298660704298435,72148.500858209,2.796875,2.90625,3.890625,3.890625,3.09375,3.78125,3.109375,3.25,3.953125,0,1,0,0,5,17
"Selous G.R",41481.3084524387,1399,5,32,0.0932486296908656,0.68824162769747,20000,"Selous GR","Selous Game Reserve","Tanzania",-8.86,37.41,"",72,72,4.73473482127535e-05,0.245927495326894,0.886116277618005,0.679191742002514,0.170898276763292,0.033181810059628,88404.0044097222,2.72857142857143,2.82857142857143,3.9,3.85714285714286,3.01428571428571,3.8,3.18571428571429,3.17142857142857,3.95714285714286,0,1,0,0,5,17
"Tarangire National Park",2621.66746052118,920,3,5,0.0438793244309764,0.388464053543095,20000,"Tarangire","Tarangire National Park","Tanzania",-4.15,36.1,"",53,53,1.08167174721627e-06,0.245927495326894,0.895221185102332,0.623461355714308,0.161859977860888,0.029475967080413,181975.211132075,2.96,3.22,3.94,3.82,2.98,3.68,2.96,3.08,4,0,1,0,0,5,16
